ID,account_type,gender,age,region_code,cc_cons_apr,dc_cons_apr,cc_cons_may,dc_cons_may,cc_cons_jun,dc_cons_jun,cc_count_apr,cc_count_may,cc_count_jun,dc_count_apr,dc_count_may,dc_count_jun,card_lim,personal_loan_active,vehicle_loan_active,personal_loan_closed,vehicle_loan_closed,investment_1,investment_2,investment_3,investment_4,debit_amount_apr,credit_amount_apr,debit_count_apr,credit_count_apr,max_credit_amount_apr,debit_amount_may,credit_amount_may,credit_count_may,debit_count_may,max_credit_amount_may,debit_amount_jun,credit_amount_jun,credit_count_jun,debit_count_jun,max_credit_amount_jun,loan_enq,emi_active,cc_cons
12554,current,M,35,708,24893,378,10288,29664,16291.4,11432,2,26,10,48,14,47,430000,1,1,1,1,593.2,1244.14,787,6885,85919.48,25192,24,6,25296,11527.5,191777.13,2,40,24563,30051.32,12761,2,65,50836,Y,1674.09,20014
17645,current,M,35,123,18941.62,966,20672,287,4217,885,1,7,13,3,21,31,127500,1,1,1,1,213557.15,172678.56,90525,1500,12255.75,88693.37,35,36,80750,92276.57,71162,2,78,23948,42119.05,76206,21,63,23226,Y,13043.34,10173
7604,current,M,55,802,5678.87,2724,1964.5,3933.11,23956.25,5168,43,32,102,4,1,80,199999,1,1,1,1,165907.57,470000,25524,3735,34193,84880,72,9,38466,19343,70978,2,82,10752,58373.25,75283,7,1,27036,Y,25375.27,16095
1590,current,F,29,867,30489.5,1236,12609.88,9138.14,17521,13650.3,53,1,50,1,1,10,155000,1,1,1,1,81872.65,223379.4,48500,-4679,11558.23,236326,43,30,52732,43867.91,63033.84,23,38,12607,69851.51,68708,21,83,43037,Y,3544.33,7707
16556,current,M,34,802,7441.4,6906.04,4364,1939,2121,6829.18,67,47,82,54,16,68,297000,1,1,1,1,568.8,385000,183999,6916,17022.81,58897.03,46,36,19613,153253.71,30286,24,50,25213,10071,80140,8,32,32044,Y,12780.44,96408
19106,current,M,27,958,2328.22,1597.54,19979.75,1045.85,11686.255,628,6,7,59,25,3,12,150000,1,1,1,1,63590.4,142608.5,96558,-4664,33149.03,34463,11,2,18433,35826.7,19584,43,2,21440,52292.68,199925.5,2,35,17284,Y,5026.5,130263
10086,current,M,32,805,1643.81,5009.13,8921.62,2151,6677.955,1185,10,2,5,1,44,17,187000,1,1,1,1,48796.45,74599.9,33774,3983,23194.85,18825,42,5,19157,56060.5,64994,2,25,20444,27354.56,200391,58,12,6779,Y,1534.93,113479
3045,current,M,28,448,5768.5,1963,84272.63,1956,6794.46,1225,26,1,59,25,2,7,120000,1,1,1,1,291969.2,51531,19400,5464,15211.28,74444,46,15,58876,47179.94,78997,1,63,5473,52411.93,7422,5,58,56900,Y,14689.56,7463
17368,current,F,67,631,721,2405.9,28933.37,5672,21473,1009,92,34,84,1,18,1,110000,1,1,1,1,9624.6,156215.3,24619,4856,37737.64,57512,2,4,10887,32616,36852,70,81,27418,59500.9,10425.53,2,79,12626,Y,4583.09,5712
9756,current,M,37,516,48575.24,4003.8,2112.49,2572,15782.52,5623.4,6,4,87,51,3,34,170000,1,1,1,1,139323.25,135552.85,4000,-5439,64904.66,14864.78,103,36,71395,71617.81,120696,17,82,1145,285604.5,49972.5,2,63,18524,Y,16839.22,7647
14772,saving,M,46,325,66617,15049,23214,3562,72910,1486.5,44,65,59,57,27,2,390000,1,1,1,1,72937.76,76365.24,908,4795,2832.01,5272,11,4,12515,165676.48,84667.36,3,31,15636,35823.52,153848,43,11,21564,Y,296.29,15896
16901,current,M,38,867,1928,3562,3184.14,6815.5,19197.62,1338,1,66,13,22,21,9,330000,1,1,1,1,5688,60481,579,7478,32302.87,50436.39,67,43,15550,58411.71,60430,4,12,56665,1021,35132,94,10,171363,Y,2391.74,140730
9853,current,M,64,805,9304.07,10117,19837.97,1015,860,1956,7,77,67,18,9,9,240000,1,1,1,1,165907.57,100000,78309,2921,138532.76,93317,77,0,33300,41518.57,46213,9,11,17785,126930.15,30335,2,106,63214,Y,1029.43,164613
678,current,F,33,723,20743.54,6748,1582.48,888,2479.5,1017,52,36,9,1,12,2,267000,1,1,1,1,12.19,1752254,51520,5730,47510.89,72342,40,15,9400,125301,169247.87,9,5,25578.31,19113.13,92443,94,50,155924,Y,3862.96,18331
11040,current,M,62,243,18560.26,5431.86,11728.92,3021,2321.3,5150,531,22,19,1,36,29,49999,1,1,1,1,471.05,15395.48,300500,1465,42363.6,37242.25,16,5,31486,22907.1,141080,3,108,28870,20763.12,748139,3,12,24813,Y,3362.62,12329
6147,current,F,28,385,4375.13,1035,14183.42,12489,10521.5,5124,24,27,79,8,1,6,199999,1,1,1,1,28482.5,152664,1630,10770,61196.87,46606,32,3,32717,8910,135737,2,12,19669,39971.35,461.79,3,83,10040.39,Y,288.38,10069
1585,current,M,29,860,15465.26,2854.21,291.5,3400,17374.765,7945.2,16,19,7,82,55,77,410000,1,1,1,1,4614669.901,134890,16114,20513,28217,116884,12,13,69973,12844.5,96092,4,7,14898.58,58501.21,11867,43,68,388145,Y,1945.12,222566
19346,current,F,28,863,23354.88,7177.5,3750.43,2277,11712,14268,2,77,2,24,31,1,403000,1,1,1,1,22086.05,38173,14904,0,110396.5,8039,7,1,17175,21397.26,177596,6,14,47709,40627.38,466079.25,94,25,20040,Y,21718.02,14694
7262,current,M,66,700,23517,10675.26,6612.45,1897,4801,3800.79,43,31,5,1,25,34,461000,1,1,1,1,3247.5,610000,3570,5464,11828,23582,1,6,1430,23084,406833.05,6,105,2555.95,29073.75,26238,5,68,65571.5,Y,3593.73,3045
1202,saving,M,55,928,21434,12764,1245.76,188,4648.3,21927.62,6,77,82,25,3,47,327000,1,1,1,1,1895.04,30453,583,2921,70927.84,35252.21,29,31,167077,66113.3,175193,4,50,45065,85276,44530,19,10,30352,Y,1893.46,279
7791,current,M,60,685,41998.07,3872,4447.65,368,22165,6767.2,5,27,46,3,15,5,427000,1,1,1,1,19087.6,1475000,8417,1992,89682.36,38030,10,1,69308,33053.13,12874,50,12,2951,12439.39,11299,16,26,48649,Y,452.76,14040
5438,current,M,40,685,14644.43,15571.55,4404.27,1032.26,10298,2203,26,11,67,47,5,36,371000,1,1,1,1,3950,9866.01,610000,-6885,32448.27,77527,7,7,33838,36015.75,148243,11,6,30325.51,100081.57,202601.38,47,25,241771,Y,7734.92,5108
18797,current,M,29,883,6249.52,2031,9147.97,6052.75,9809.545,22068.77,101,18,85,2,21,98,124000,1,1,1,1,67833.35,1475000,6100,20513,48276.36,18995,16,3,51024,28130,10168,4,20,129509,36622.4,81066,12,24,5309,Y,7958.53,19705
8661,current,M,63,503,18724.5,177,6529.53,3524.57,1685,21126,17,85,2,57,18,42,75000,1,1,1,1,39851.93,190887.4,5905,12415,52190.05,198914,103,2,52831,18571.98,39030,0,42,31658,58012.62,29443,2,49,15938,Y,12397.88,24455
17362,current,M,30,700,6712.78,6942,10403.8,1670.25,14758.87,1486,7,14,5,5,1,5,298000,1,1,1,1,24832,39833.19,11580,0,9174.88,40237,16,2,20916,46533.3,382738,7,171,56643,44428.74,12273.75,4,6,62247,Y,11084.29,10846
10693,current,M,56,606,38460.93,1067,24747.18,2879.58,1229,2922.23,1,2,4,6,9,11,565000,1,1,1,1,173732.5,68663.61,583,-4679,25999.25,17350,91,1,45114.9,50294.48,137144.72,2,11,396556,34280.06,73905,21,50,13360,Y,10988.24,17352
3905,current,M,32,447,1703.09,14604.69,2451.97,11619.8,5488.805,5610,12,5,35,7,2,70,466000,1,1,1,1,566914,470000,230000,1411,20603.18,23582,17,13,13822,27725.25,15231,3,2,25583,53790.25,204518.16,14,79,15178,Y,12123.58,2774
3334,current,M,62,314,8594.225,16379.52,35300.38,2841,1223.94,820.3,14,18,89,3,2,26,70000,1,1,1,1,76,77000,583,2921,422862.95,69227.91,11,0,13943,22105.78,12294,20,108,18548,32653.62,951555,3,79,41945,Y,8445.94,9086
17536,current,M,34,950,26025.37,1058.28,1131.95,824.67,1430,11800.26,7,99,3,10,6,17,289000,1,1,1,1,1500,165970.9,24619,12163,33133.51,37344,16,26,33916,116899.24,808,24,82,140000,7877.33,10184,4,106,29792,Y,17350.88,13533
7552,current,M,46,911,732.93,3332.48,3723.7,1624,8534,4450.5,8,36,6,18,2,1,525000,1,1,1,1,102494.2,470000,68000,20513,66633.78,23240,55,3,17150,20204,84431,1,16,11648,131557.52,379,6,11,5555,Y,38442.24,141413
18876,current,M,47,424,12170.54,1515,2061.33,1590,10913,949,19,26,30,21,18,5,408000,1,1,1,1,165907.57,105000,24619,6441,11109.25,517343.79,77,5,16177,78764.42,20631,2,59,249900,48211.67,23719,6,103,126467,Y,7637.51,2806
8129,saving,M,49,508,5768,23030.56,2385.84,2189,6726,156,6,128,32,42,25,13,136000,1,1,1,1,138129.4,12929,54101,1332,28796,144266.5,10,14,12252,43750.54,47245,6,21,243528,20597.5,3876,43,50,26153.06,Y,1694.71,80
6042,current,M,33,653,29762,7947,56468.02,3755,7735.74,7183,53,46,117,50,9,34,581000,1,1,1,1,7455797.87,93.35,2214,-6281.37988,908833,146093,10,15,24704,2320,188474.71,30,67,24150,335734.75,97411.7,7,38,46846,Y,2161.21,13135
10499,current,F,118,525,2448.575,6619,1416.5,3228,3194.2,6508.58,6,29,11,30,5,79,296000,1,1,1,1,250631.8,13299,300500,1444,35623.77,77501.38,4,4,23739,39857.78,30404,43,20,5675,10588.37,54491,22,0,118159,Y,1237.82,20360
11677,current,M,29,945,18051.34,42350.9,1601.16,5368.44,7495,6738,1,29,3,2,4,98,44000,1,1,1,1,12315,992890.32,4812,7478,44134.77,122621,18,4,64875,20221.5,34365,1,63,2777,83525.75,17442,4,12,700,Y,6003.5,17076
3259,current,F,31,796,9310,1370,35356,1535.5,15673.5,243,5,84,20,18,1,79,564000,1,1,1,1,4039029.9,25404,50000,173,228573.2,173349,10,3,39834,78498.01,44669,3,14,49365,17529,65682,21,103,86256,Y,8528.42,98963
1584,saving,M,32,505,8211.35,11309.79,25430.85,1810.02,11077,2326,531,3,2,52,3,11,17000,1,1,1,1,690,107639.28,43798,24326,112830.01,115211.91,91,43,18357,34077.48,4173,1,23,2070113,50076.03,8623,40,13,26721,Y,4430.1,165997
2909,current,F,69,249,10643,1985.02,8385.5,4550.86,16406,1715.23,2,84,30,8,2,1,371000,1,1,1,1,173732.5,895000,1526,20513,29120.22,44375,10,1,28008,24103.38,34155,2,11,27624,100158.5,25379,9,83,24909,Y,492.11,6730
